"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "SCSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\connect\connect.module.scss", "SCSS", 0, 0, 0, 97, 0, 0, 0, 0, 11, 108
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\favorites\favorites.jsx", "JavaScript JSX", 0, 0, 120, 0, 0, 0, 0, 13, 15, 148
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\favorites\favorites.module.scss", "SCSS", 0, 0, 0, 139, 0, 0, 0, 2, 15, 156
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\folder\folder.jsx", "JavaScript JSX", 0, 0, 152, 0, 0, 0, 0, 9, 17, 178
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\folder\folder.module.scss", "SCSS", 0, 0, 0, 166, 0, 0, 0, 4, 18, 188
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\loaderfont\loaderfont.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\login\login.jsx", "JavaScript JSX", 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\login\login.module.scss", "SCSS", 0, 0, 0, 112, 0, 0, 0, 1, 12, 125
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\logout\logout.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\logout\logout.module.scss", "SCSS", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\menu\menu.jsx", "JavaScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\menu\menu.module.scss", "SCSS", 0, 0, 0, 104, 0, 0, 0, 0, 10, 114
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\register\register.jsx", "JavaScript JSX", 0, 0, 226, 0, 0, 0, 0, 4, 20, 250
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\register\register.module.scss", "SCSS", 0, 0, 0, 167, 0, 0, 0, 0, 16, 183
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\requireAuth\requireAuth.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\settings\settings.jsx", "JavaScript JSX", 0, 0, 238, 0, 0, 0, 0, 10, 18, 266
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\settings\settings.module.scss", "SCSS", 0, 0, 0, 137, 0, 0, 0, 0, 19, 156
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\testText\testText.jsx", "JavaScript JSX", 0, 0, 121, 0, 0, 0, 0, 2, 10, 133
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\testText\testText.module.scss", "SCSS", 0, 0, 0, 124, 0, 0, 0, 2, 13, 139
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\unauthorized\index.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\unauthorized\unauthorized.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\variable\variable.jsx", "JavaScript JSX", 0, 0, 144, 0, 0, 0, 0, 0, 10, 154
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\components\variable\variable.module.scss", "SCSS", 0, 0, 0, 200, 0, 0, 0, 20, 31, 251
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\features\authSlice.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\features\choosedFontSlide.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\features\fontsSlice.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\remic\Desktop\In Progress\Code\Ri7-ProjectF\projectF\src\main.jsx", "JavaScript JSX", 0, 0, 13, 0, 0, 0, 0, 2, 2, 17
